A,00,0001,Two Bed Nano,704,West, N
A,00,0002,One Bed Home,524,West, N
A,00,0003,Two Bed Nano,704,East, N
A,00,0004,Two Bed Nano,704,East, N
A,01,0101,Two Bed Nano,750,West, N
A,01,0102,Two Bed Nano,750,West, N
A,01,0103,Two Bed Nano,750,East, N
A,01,0104,Two Bed Nano,750,East, N
A,02,0201,Two Bed Nano,750,West, N
A,02,0202,Two Bed Nano,750,West, N
A,02,0203,Two Bed Nano,750,East, N
A,02,0204,Two Bed Nano,750,East, N
A,03,0301,Two Bed Nano,750,West, N
A,03,0302,Two Bed Nano,750,West, N
A,03,0303,Two Bed Nano,750,East, N
A,03,0304,Two Bed Nano,750,East, N
A,04,0401,Two Bed Nano,750,West, N
A,04,0402,Two Bed Nano,750,West, N
A,04,0403,Two Bed Nano,750,East, N
A,04,0404,Two Bed Nano,750,East, N
A,05,0501,Two Bed Nano,750,West, N
A,05,0502,Two Bed Nano,750,West, N
A,05,0503,Two Bed Nano,750,East, N
A,05,0504,Two Bed Nano,750,East, N
A,06,0601,Two Bed Nano,750,West, N
A,06,0602,Two Bed Nano,750,West, N
A,06,0603,Two Bed Nano,750,East, N
A,06,0604,Two Bed Nano,750,East, N
A,07,0701,Two Bed Nano,750,West, N
A,07,0702,Two Bed Nano,750,West, N
A,07,0703,Two Bed Nano,750,East, N
A,07,0704,Two Bed Nano,750,East, N
A,08,0801,Two Bed Nano,750,West, N
A,08,0802,Two Bed Nano,750,West, N
A,08,0803,Two Bed Nano,750,East, N
A,08,0804,Two Bed Nano,750,East, N
A,09,0901,Two Bed Nano,750,West, N
A,09,0902,Two Bed Nano,750,West, N
A,09,0903,Two Bed Nano,750,East, N
A,09,0904,Two Bed Nano,750,East, N

B,00,0001,Two Bed Home,1163,West, N
B,00,0002,Three Bed Home,1520,West, N
B,00,0003,Three Bed Home,1544,West, N
B,00,0005,Two Bed Home,1123,N/E, N
B,00,0006,Two Bed Home,1163,East, N
B,01,0101,Two Bed Study,1350,West, N
B,01,0102,Three Bed Home,1564,N/W, N
B,01,0103,Three Bed Home,1564,N/W, N
B,01,0104,Two Bed Home,1173,N/E, N
B,01,0105,Two Bed Home,1173,N/E, N
B,01,0106,Two Bed Study,1350,East, N
B,02,0201,Two Bed Study,1350,West, N
B,02,0202,Three Bed Home,1564,N/W, N
B,02,0203,Three Bed Home,1564,N/W, N
B,02,0204,Two Bed Home,1173,N/E, N
B,02,0205,Two Bed Home,1173,N/E, N
B,02,0206,Two Bed Study,1350,East, N
B,03,0301,Two Bed Study,1350,West, N
B,03,0302,Three Bed Home,1564,N/W, N
B,03,0303,Three Bed Home,1564,N/W, N
B,03,0304,Two Bed Home,1173,N/E, N
B,03,0305,Two Bed Home,1173,N/E, N
B,03,0306,Two Bed Study,1350,East, N
B,04,0401,Two Bed Study,1350,West, N
B,04,0402,Three Bed Home,1564,N/W, N
B,04,0403,Three Bed Home,1564,N/W, N
B,04,0404,Two Bed Home,1173,N/E, N
B,04,0405,Two Bed Home,1173,N/E, N
B,04,0406,Two Bed Study,1350,East, N
B,05,0501,Two Bed Study,1350,West, N
B,05,0502,Three Bed Home,1564,N/W, N
B,05,0503,Three Bed Home,1564,N/W, N
B,05,0504,Two Bed Home,1173,N/E, N
B,05,0505,Two Bed Home,1173,N/E, N
B,05,0506,Two Bed Study,1350,East, N
B,06,0601,Two Bed Study,1350,West, N
B,06,0602,Three Bed Home,1564,N/W, N
B,06,0603,Three Bed Home,1564,N/W, N
B,06,0604,Two Bed Home,1173,N/E, N
B,06,0605,Two Bed Home,1173,N/E, N
B,06,0606,Two Bed Study,1350,East, N
B,07,0701,Two Bed Study,1350,West, N
B,07,0702,Three Bed Home,1564,N/W, N
B,07,0703,Three Bed Home,1564,N/W, N
B,07,0704,Two Bed Home,1173,N/E, N
B,07,0705,Two Bed Home,1173,N/E, N
B,07,0706,Two Bed Study,1350,East, N
B,08,0801,Two Bed Study,1350,West, N
B,08,0802,Three Bed Home,1564,N/W, N
B,08,0803,Three Bed Home,1564,N/W, N
B,08,0804,Two Bed Home,1173,N/E, N
B,08,0805,Two Bed Home,1173,N/E, N
B,08,0806,Two Bed Study,1350,East, N
B,09,0901,Two Bed Study,1350,West, N
B,09,0902,Three Bed Home,1564,N/W, N
B,09,0903,Three Bed Home,1564,N/W, N
B,09,0904,Two Bed Home,1173,N/E, N
B,09,0905,Two Bed Home,1173,N/E, N
B,09,0906,Two Bed Study,1350,East, N
B,10,1001,Two Bed Study,1350,West, N
B,10,1002,Three Bed Home,1564,N/W, N
B,10,1003,Three Bed Home,1564,N/W, N
B,10,1004,Two Bed Home,1173,N/E, N
B,10,1005,Two Bed Home,1173,N/E, N
B,10,1006,Two Bed Study,1350,East, N
B,11,1101,Two Bed Study,1350,West, N
B,11,1102,Three Bed Home,1564,N/W, N
B,11,1103,Three Bed Home,1564,N/W, N
B,11,1104,Two Bed Home,1173,N/E, N
B,11,1105,Two Bed Home,1173,N/E, N
B,11,1106,Two Bed Study,1350,East, N
B,12,1201,Two Bed Study,1350,West, N
B,12,1202,Three Bed Home,1564,N/W, N
B,12,1203,Three Bed Home,1564,N/W, N
B,12,1204,Two Bed Home,1173,N/E, N
B,12,1205,Two Bed Home,1173,N/E, N
B,12,1206,Two Bed Study,1350,East, N
B,13,1301,Two Bed Study,1350,West, N
B,13,1302,Three Bed Home,1564,N/W, N
B,13,1303,Three Bed Home,1564,N/W, N
B,13,1304,Two Bed Home,1173,N/E, N
B,13,1305,Two Bed Home,1173,N/E, N
B,13,1306,Two Bed Study,1350,East, N
B,14,1401,Two Bed Study,1350,West, N
B,14,1402,Three Bed Home,1564,N/W, N
B,14,1403,Three Bed Home,1564,N/W, N
B,14,1404,Two Bed Home,1173,N/E, N
B,14,1405,Two Bed Home,1173,N/E, N
B,14,1406,Two Bed Study,1350,East, N
B,15,1501,Two Bed Study,1350,West, N
B,15,1502,Three Bed Home,1564,N/W, N
B,15,1503,Three Bed Home,1564,N/W, N
B,15,1504,Two Bed Home,1173,N/E, N
B,15,1505,Two Bed Home,1173,N/E, N
B,15,1506,Two Bed Study,1350,East, N
B,16,1601,Two Bed Study,1350,West, N
B,16,1602,Three Bed Home,1564,N/W, N
B,16,1603,Three Bed Home,1564,N/W, N
B,16,1604,Two Bed Home,1173,N/E, N
B,16,1605,Two Bed Home,1173,N/E, N
B,16,1606,Two Bed Study,1350,East, N
B,17,1701,Two Bed Study,1350,West, N
B,17,1702,Three Bed Home,1564,N/W, N
B,17,1703,Three Bed Home,1564,N/W, N
B,17,1704,Two Bed Home,1173,N/E, N
B,17,1705,Two Bed Home,1173,N/E, N
B,17,1706,Two Bed Study,1350,East, N
B,18,1801,Two Bed Study,1350,West, N
B,18,1802,Three Bed Home,1564,N/W, N
B,18,1803,Three Bed Home,1564,N/W, N
B,18,1804,Two Bed Home,1173,N/E, N
B,18,1805,Two Bed Home,1173,N/E, N
B,18,1806,Two Bed Study,1350,East, N

C,00,0001,Two Bed Home,1123,East, N
C,00,0002,Two Bed Home,1173,West, N
C,00,0003,One Bed Home,894,North, N
C,00,0004,One Bed Home,894,North, N
C,00,0005,Three Bed Home,1520,East, N
C,00,0006,Three Bed Home,1520,East, N
C,01,0101,Two Bed Home,1173,East, N
C,01,0102,Two Bed Home,1173,West, N
C,01,0103,Two Bed Study,1350,North, N
C,01,0104,Two Bed Study,1350,North, N
C,01,0105,Three Bed Home,1610,East, N
C,01,0106,Three Bed Home,1610,East, N
C,02,0201,Two Bed Home,1173,East, N
C,02,0202,Two Bed Home,1173,West, N
C,02,0203,Two Bed Study,1350,North, N
C,02,0204,Two Bed Study,1350,North, N
C,02,0205,Three Bed Home,1564,East, N
C,02,0206,Three Bed Home,1564,East, N
C,03,0301,Two Bed Home,1173,East, N
C,03,0302,Two Bed Home,1173,West, N
C,03,0303,Two Bed Study,1350,North, N
C,03,0304,Two Bed Study,1350,North, N
C,03,0305,Three Bed Home,1564,East, N
C,03,0306,Three Bed Home,1564,East, N
C,04,0401,Two Bed Home,1173,East, N
C,04,0402,Two Bed Home,1173,West, N
C,04,0403,Two Bed Study,1350,North, N
C,04,0404,Two Bed Study,1350,North, N
C,04,0405,Three Bed Home,1610,East, N
C,04,0406,Three Bed Home,1610,East, N
C,05,0501,Two Bed Home,1173,East, N
C,05,0502,Two Bed Home,1173,West, N
C,05,0503,Two Bed Study,1350,North, N
C,05,0504,Two Bed Study,1350,North, N
C,05,0505,Three Bed Home,1564,East, N
C,05,0506,Three Bed Home,1564,East, N
C,06,0601,Two Bed Home,1173,East, N
C,06,0602,Two Bed Home,1173,West, N
C,06,0603,Two Bed Study,1350,North, N
C,06,0604,Two Bed Study,1350,North, N
C,06,0605,Three Bed Home,1564,East, N
C,06,0606,Three Bed Home,1564,East, N
C,07,0701,Two Bed Home,1173,East, N
C,07,0702,Two Bed Home,1173,West, N
C,07,0703,Two Bed Study,1350,North, N
C,07,0704,Two Bed Study,1350,North, N
C,07,0705,Three Bed Home,1610,East, N
C,07,0706,Three Bed Home,1610,East, N
C,08,0801,Two Bed Home,1173,East, N
C,08,0802,Two Bed Home,1173,West, N
C,08,0803,Two Bed Study,1350,North, N
C,08,0804,Two Bed Study,1350,North, N
C,08,0805,Three Bed Home,1564,East, N
C,08,0806,Three Bed Home,1564,East, N
C,09,0901,Two Bed Home,1173,East, N
C,09,0902,Two Bed Home,1173,West, N
C,09,0903,Two Bed Study,1350,North, N
C,09,0904,Two Bed Study,1350,North, N
C,09,0905,Three Bed Home,1564,East, N
C,09,0906,Three Bed Home,1564,East, N
C,10,1001,Two Bed Home,1173,East, N
C,10,1002,Two Bed Home,1173,West, N
C,10,1003,Two Bed Study,1350,North, N
C,10,1004,Two Bed Study,1350,North, N
C,10,1005,Three Bed Home,1610,East, N
C,10,1006,Three Bed Home,1610,East, N
C,11,1101,Two Bed Home,1173,East, N
C,11,1102,Two Bed Home,1173,West, N
C,11,1103,Two Bed Study,1350,North, N
C,11,1104,Two Bed Study,1350,North, N
C,11,1105,Three Bed Home,1564,East, N
C,11,1106,Three Bed Home,1564,East, N
C,12,1201,Two Bed Home,1173,East, N
C,12,1202,Two Bed Home,1173,West, N
C,12,1203,Two Bed Study,1350,North, N
C,12,1204,Two Bed Study,1350,North, N
C,12,1205,Three Bed Home,1564,East, N
C,12,1206,Three Bed Home,1564,East, N
C,13,1301,Two Bed Home,1173,East, N
C,13,1302,Two Bed Home,1173,West, N
C,13,1303,Two Bed Study,1350,North, N
C,13,1304,Two Bed Study,1350,North, N
C,13,1305,Three Bed Home,1610,East, N
C,13,1306,Three Bed Home,1610,East, N
C,14,1401,Two Bed Home,1173,East, N
C,14,1402,Two Bed Home,1173,West, N
C,14,1403,Two Bed Study,1350,North, N
C,14,1404,Two Bed Study,1350,North, N
C,14,1405,Three Bed Home,1564,East, N
C,14,1406,Three Bed Home,1564,East, N
C,15,1501,Two Bed Home,1173,East, N
C,15,1502,Two Bed Home,1173,West, N
C,15,1503,Two Bed Study,1350,North, N
C,15,1504,Two Bed Study,1350,North, N
C,15,1505,Three Bed Home,1564,East, N
C,15,1506,Three Bed Home,1564,East, N
C,16,1601,Two Bed Home,1173,East, N
C,16,1602,Two Bed Home,1173,West, N
C,16,1603,Two Bed Study,1350,North, N
C,16,1604,Two Bed Study,1350,North, N
C,16,1605,Three Bed Home,1610,East, N
C,16,1606,Three Bed Home,1610,East, N
C,17,1701,Two Bed Home,1173,East, N
C,17,1702,Two Bed Home,1173,West, N
C,17,1703,Two Bed Study,1350,North, N
C,17,1704,Two Bed Study,1350,North, N
C,17,1705,Three Bed Home,1564,East, N
C,17,1706,Three Bed Home,1564,East, N
C,18,1801,Two Bed Home,1173,East, N
C,18,1802,Two Bed Home,1173,West, N
C,18,1803,Two Bed Study,1350,North, N
C,18,1804,Two Bed Study,1350,North, N
C,18,1805,Three Bed Home,1564,East, N
C,18,1806,Three Bed Home,1564,East, N

D,00,0001,One Bed Home,877,West, N
D,00,0002,Three Bed Home,1537,N/W, N
D,00,0003,Three Bed Home,1537,N/W, N
D,00,0005,One Bed Home,840,N/E, N
D,00,0006,One Bed Home,877,East, N
D,01,0101,Two Bed Study,1350,West, N
D,01,0102,Three Bed Home,1610,N/W, N
D,01,0103,Three Bed Home,1610,N/W, N
D,01,0104,Two Bed Home,1173,N/E, N
D,01,0105,Two Bed Home,1173,N/E, N
D,01,0106,Two Bed Study,1350,East, N
D,02,0201,Two Bed Study,1350,West, N
D,02,0202,Three Bed Home,1564,N/W, N
D,02,0203,Three Bed Home,1564,N/W, N
D,02,0204,Two Bed Home,1173,N/E, N
D,02,0205,Two Bed Home,1173,N/E, N
D,02,0206,Two Bed Study,1350,East, N
D,03,0301,Two Bed Study,1350,West, N
D,03,0302,Three Bed Home,1564,N/W, N
D,03,0303,Three Bed Home,1564,N/W, N
D,03,0304,Two Bed Home,1173,N/E, N
D,03,0305,Two Bed Home,1173,N/E, N
D,03,0306,Two Bed Study,1350,East, N
D,04,0401,Two Bed Study,1350,West, N
D,04,0402,Three Bed Home,1610,N/W, N
D,04,0403,Three Bed Home,1610,N/W, N
D,04,0404,Two Bed Home,1173,N/E, N
D,04,0405,Two Bed Home,1173,N/E, N
D,04,0406,Two Bed Study,1350,East, N
D,05,0501,Two Bed Study,1350,West, N
D,05,0502,Three Bed Home,1564,N/W, N
D,05,0503,Three Bed Home,1564,N/W, N
D,05,0504,Two Bed Home,1173,N/E, N
D,05,0505,Two Bed Home,1173,N/E, N
D,05,0506,Two Bed Study,1350,East, N
D,06,0601,Two Bed Study,1350,West, N
D,06,0602,Three Bed Home,1564,N/W, N
D,06,0603,Three Bed Home,1564,N/W, N
D,06,0604,Two Bed Home,1173,N/E, N
D,06,0605,Two Bed Home,1173,N/E, N
D,06,0606,Two Bed Study,1350,East, N
D,07,0701,Two Bed Study,1350,West, N
D,07,0702,Three Bed Home,1610,N/W, N
D,07,0703,Three Bed Home,1610,N/W, N
D,07,0704,Two Bed Home,1173,N/E, N
D,07,0705,Two Bed Home,1173,N/E, N
D,07,0706,Two Bed Study,1350,East, N
D,08,0801,Two Bed Study,1350,West, N
D,08,0802,Three Bed Home,1564,N/W, N
D,08,0803,Three Bed Home,1564,N/W, N
D,08,0804,Two Bed Home,1173,N/E, N
D,08,0805,Two Bed Home,1173,N/E, N
D,08,0806,Two Bed Study,1350,East, N
D,09,0901,Two Bed Study,1350,West, N
D,09,0902,Three Bed Home,1564,N/W, N
D,09,0903,Three Bed Home,1564,N/W, N
D,09,0904,Two Bed Home,1173,N/E, N
D,09,0905,Two Bed Home,1173,N/E, N
D,09,0906,Two Bed Study,1350,East, N
D,10,1001,Two Bed Study,1350,West, N
D,10,1002,Three Bed Home,1610,N/W, N
D,10,1003,Three Bed Home,1610,N/W, N
D,10,1004,Two Bed Home,1173,N/E, N
D,10,1005,Two Bed Home,1173,N/E, N
D,10,1006,Two Bed Study,1350,East, N
D,11,1101,Two Bed Study,1350,West, N
D,11,1102,Three Bed Home,1564,N/W, N
D,11,1103,Three Bed Home,1564,N/W, N
D,11,1104,Two Bed Home,1173,N/E, N
D,11,1105,Two Bed Home,1173,N/E, N
D,11,1106,Two Bed Study,1350,East, N
D,12,1201,Two Bed Study,1350,West, N
D,12,1202,Three Bed Home,1564,N/W, N
D,12,1203,Three Bed Home,1564,N/W, N
D,12,1204,Two Bed Home,1173,N/E, N
D,12,1205,Two Bed Home,1173,N/E, N
D,12,1206,Two Bed Study,1350,East, N
D,13,1301,Two Bed Study,1350,West, N
D,13,1302,Three Bed Home,1610,N/W, N
D,13,1303,Three Bed Home,1610,N/W, N
D,13,1304,Two Bed Home,1173,N/E, N
D,13,1305,Two Bed Home,1173,N/E, N
D,13,1306,Two Bed Study,1350,East, N
D,14,1401,Two Bed Study,1350,West, N
D,14,1402,Three Bed Home,1564,N/W, N
D,14,1403,Three Bed Home,1564,N/W, N
D,14,1404,Two Bed Home,1173,N/E, N
D,14,1405,Two Bed Home,1173,N/E, N
D,14,1406,Two Bed Study,1350,East, N
D,15,1501,Two Bed Study,1350,West, N
D,15,1502,Three Bed Home,1564,N/W, N
D,15,1503,Three Bed Home,1564,N/W, N
D,15,1504,Two Bed Home,1173,N/E, N
D,15,1505,Two Bed Home,1173,N/E, N
D,15,1506,Two Bed Study,1350,East, N
D,16,1601,Two Bed Study,1350,West, N
D,16,1602,Three Bed Home,1610,N/W, N
D,16,1603,Three Bed Home,1610,N/W, N
D,16,1604,Two Bed Home,1173,N/E, N
D,16,1605,Two Bed Home,1173,N/E, N
D,16,1606,Two Bed Study,1350,East, N
D,17,1701,Two Bed Study,1350,West, N
D,17,1702,Three Bed Home,1564,N/W, N
D,17,1703,Three Bed Home,1564,N/W, N
D,17,1704,Two Bed Home,1173,N/E, N
D,17,1705,Two Bed Home,1173,N/E, N
D,17,1706,Two Bed Study,1350,East, N
D,18,1801,Two Bed Study,1350,West, N
D,18,1802,Three Bed Home,1564,N/W, N
D,18,1803,Three Bed Home,1564,N/W, N
D,18,1804,Two Bed Home,1173,N/E, N
D,18,1805,Two Bed Home,1173,N/E, N
D,18,1806,Two Bed Study,1350,East, N

E,00,0001,One Bed Home,840,East, N
E,00,0002,Two Bed Home,1173,West, N
E,00,0003,Two Bed Home,1180,North, N
E,00,0004,Two Bed Home,1180,North, N
E,00,0005,Three Bed Home,1524,East, N
E,00,0006,Three Bed Home,1545,East, N
E,01,0101,Two Bed Home,1173,East, N
E,01,0102,Two Bed Home,1173,West, N
E,01,0103,Two Bed Study,1350,North, N
E,01,0104,Two Bed Study,1350,North, N
E,01,0105,Three Bed Home,1574,East, N
E,01,0106,Three Bed Home,1639,East, N
E,02,0201,Two Bed Home,1173,East, N
E,02,0202,Two Bed Home,1173,West, N
E,02,0203,Two Bed Study,1350,North, N
E,02,0204,Two Bed Study,1350,North, N
E,02,0205,Three Bed Home,1574,East, N
E,02,0206,Three Bed Home,1596,East, N
E,03,0301,Two Bed Home,1173,East, N
E,03,0302,Two Bed Home,1173,West, N
E,03,0303,Two Bed Study,1350,North, N
E,03,0304,Two Bed Study,1350,North, N
E,03,0305,Three Bed Home,1574,East, N
E,03,0306,Three Bed Home,1596,East, N
E,04,0401,Two Bed Home,1173,East, N
E,04,0402,Two Bed Home,1173,West, N
E,04,0403,Two Bed Study,1350,North, N
E,04,0404,Two Bed Study,1350,North, N
E,04,0405,Three Bed Home,1574,East, N
E,04,0406,Three Bed Home,1639,East, N
E,05,0501,Two Bed Home,1173,East, N
E,05,0502,Two Bed Home,1173,West, N
E,05,0503,Two Bed Study,1350,North, N
E,05,0504,Two Bed Study,1350,North, N
E,05,0505,Three Bed Home,1574,East, N
E,05,0506,Three Bed Home,1596,East, N
E,06,0601,Two Bed Home,1173,East, N
E,06,0602,Two Bed Home,1173,West, N
E,06,0603,Two Bed Study,1350,North, N
E,06,0604,Two Bed Study,1350,North, N
E,06,0605,Three Bed Home,1574,East, N
E,06,0606,Three Bed Home,1596,East, N
E,07,0701,Two Bed Home,1173,East, N
E,07,0702,Two Bed Home,1173,West, N
E,07,0703,Two Bed Study,1350,North, N
E,07,0704,Two Bed Study,1350,North, N
E,07,0705,Three Bed Home,1574,East, N
E,07,0706,Three Bed Home,1639,East, N
E,08,0801,Two Bed Home,1173,East, N
E,08,0802,Two Bed Home,1173,West, N
E,08,0803,Two Bed Study,1350,North, N
E,08,0804,Two Bed Study,1350,North, N
E,08,0805,Three Bed Home,1574,East, N
E,08,0806,Three Bed Home,1596,East, N
E,09,0901,Two Bed Home,1173,East, N
E,09,0902,Two Bed Home,1173,West, N
E,09,0903,Two Bed Study,1350,North, N
E,09,0904,Two Bed Study,1350,North, N
E,09,0905,Three Bed Home,1574,East, N
E,09,0906,Three Bed Home,1596,East, N
E,10,1001,Two Bed Home,1173,East, N
E,10,1002,Two Bed Home,1173,West, N
E,10,1003,Two Bed Study,1350,North, N
E,10,1004,Two Bed Study,1350,North, N
E,10,1005,Three Bed Home,1574,East, N
E,10,1006,Three Bed Home,1639,East, N
E,11,1101,Two Bed Home,1173,East, N
E,11,1102,Two Bed Home,1173,West, N
E,11,1103,Two Bed Study,1350,North, N
E,11,1104,Two Bed Study,1350,North, N
E,11,1105,Three Bed Home,1574,East, N
E,11,1106,Three Bed Home,1596,East, N
E,12,1201,Two Bed Home,1173,East, N
E,12,1202,Two Bed Home,1173,West, N
E,12,1203,Two Bed Study,1350,North, N
E,12,1204,Two Bed Study,1350,North, N
E,12,1205,Three Bed Home,1574,East, N
E,12,1206,Three Bed Home,1596,East, N
E,13,1301,Two Bed Home,1173,East, N
E,13,1302,Two Bed Home,1173,West, N
E,13,1303,Two Bed Study,1350,North, N
E,13,1304,Two Bed Study,1350,North, N
E,13,1305,Three Bed Home,1574,East, N
E,13,1306,Three Bed Home,1639,East, N
E,14,1401,Two Bed Home,1173,East, N
E,14,1402,Two Bed Home,1173,West, N
E,14,1403,Two Bed Study,1350,North, N
E,14,1404,Two Bed Study,1350,North, N
E,14,1405,Three Bed Home,1574,East, N
E,14,1406,Three Bed Home,1596,East, N
E,15,1501,Two Bed Home,1173,East, N
E,15,1502,Two Bed Home,1173,West, N
E,15,1503,Two Bed Study,1350,North, N
E,15,1504,Two Bed Study,1350,North, N
E,15,1505,Three Bed Home,1574,East, N
E,15,1506,Three Bed Home,1596,East, N
E,16,1601,Two Bed Home,1173,East, N
E,16,1602,Two Bed Home,1173,West, N
E,16,1603,Two Bed Study,1350,North, N
E,16,1604,Two Bed Study,1350,North, N
E,16,1605,Three Bed Home,1574,East, N
E,16,1606,Three Bed Home,1639,East, N
E,17,1701,Two Bed Home,1173,East, N
E,17,1702,Two Bed Home,1173,West, N
E,17,1703,Two Bed Study,1350,North, N
E,17,1704,Two Bed Study,1350,North, N
E,17,1705,Three Bed Home,1574,East, N
E,17,1706,Three Bed Home,1596,East, N
E,18,1801,Two Bed Home,1173,East, N
E,18,1802,Two Bed Home,1173,West, N
E,18,1803,Two Bed Study,1350,North, N
E,18,1804,Two Bed Study,1350,North, N
E,18,1805,Three Bed Home,1574,East, N
E,18,1806,Three Bed Home,1596,East, N
